H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
SRR11905247_LamaGlama	SRR15966550_LamaGlama	SRR11905246_LamaGlama	163679	164433	-0.002297996	-0.002297996	0.01067688	-0.2152311	
SRR11905248_LamaGlama	SRR15966550_LamaGlama	SRR11905246_LamaGlama	169177	164346	0.01448476	0.01448476	0.01041177	1.391191	
SRR11905249_LamaGuanicoeGuanicoe	SRR15966550_LamaGlama	SRR11905246_LamaGlama	246593	134923	0.2927007	0.2927007	0.008379626	34.93004	
SRR11905250_LamaGuanicoeGuanicoe	SRR15966550_LamaGlama	SRR11905246_LamaGlama	247219	135147	0.2931014	0.2931014	0.008247446	35.53844	
SRR11905251_LamaGuanicoeGuanicoe	SRR15966550_LamaGlama	SRR11905246_LamaGlama	246537	134149	0.2952249	0.2952249	0.008303577	35.55395	
SRR11905252_LamaGuanicoeGuanicoe	SRR15966550_LamaGlama	SRR11905246_LamaGlama	229992	127331	0.2873059	0.2873059	0.008122641	35.37099	
SRR11905261_LamaGuanicoeCacsilensis	SRR15966550_LamaGlama	SRR11905246_LamaGlama	240261	135782	0.2778379	0.2778379	0.008088271	34.35071	
SRR11905268_LamaGlama	SRR15966550_LamaGlama	SRR11905246_LamaGlama	150819	194493	-0.1264769	-0.1264769	0.01243375	-10.17207	
SRR11905269_LamaGlama	SRR15966550_LamaGlama	SRR11905246_LamaGlama	164803	165023	-0.0006670184	-0.0006670184	0.009965333	-0.06693388	
SRR11905270_LamaGlama	SRR15966550_LamaGlama	SRR11905246_LamaGlama	161110	181524	-0.05957961	-0.05957961	0.01208562	-4.929795	
SRR11905271_LamaGlama	SRR15966550_LamaGlama	SRR11905246_LamaGlama	162728	172424	-0.02893016	-0.02893016	0.01082888	-2.671574	
SRR11905272_LamaGuanicoeCacsilensis	SRR15966550_LamaGlama	SRR11905246_LamaGlama	233787	137490	0.259367	0.259367	0.008522401	30.43356	
SRR11905273_LamaGuanicoeCacsilensis	SRR15966550_LamaGlama	SRR11905246_LamaGlama	158336	157101	0.003915203	0.003915203	0.008004935	0.4890987	
SRR11097120_LamaGlama	SRR16008793_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	160401	151551	0.02836975	0.02836975	0.009190551	3.086839	
SRR11905247_LamaGlama	SRR16008793_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	159367	153504	0.01873935	0.01873935	0.009504414	1.971647	
SRR11905248_LamaGlama	SRR16008793_LamaGuanicoeCacsilensis	SRR11905246_LamaGlama	164047	152828	0.03540513	0.03540513	0.009150593	3.869162	
