H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
SRR11905267_VicugnaVicugnaMensalis	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	256029	237853	0.03680231	0.03680231	0.01339849	2.746751	
SRR13340600_VicugnaPacos	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	237696	247019	-0.01923398	-0.01923398	0.01112002	-1.729671	
SRR13340601_VicugnaPacos	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	241632	248183	-0.01337444	-0.01337444	0.01152244	-1.160729	
SRR13340602_VicugnaPacos	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	239457	245176	-0.01180068	-0.01180068	0.01115554	-1.057831	
SRR13340603_VicugnaPacos	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	237097	244244	-0.0148481	-0.0148481	0.01053866	-1.408918	
SRR13340604_VicugnaPacos	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	247210	245705	0.003053265	0.003053265	0.0117936	0.2588916	
SRR13340605_VicugnaPacos	SRR15927273_VicugnaPacos	SRR11905253_VicugnaPacos	246266	240565	0.01171043	0.01171043	0.009741814	1.202079	
SRR11905254_VicugnaPacos	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	229093	252757	-0.04911072	-0.04911072	0.01301569	-3.773193	
SRR11905255_VicugnaPacos	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	227209	246254	-0.0402249	-0.0402249	0.01256216	-3.202067	
SRR11905256_VicugnaPacos	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	229521	250682	-0.04406678	-0.04406678	0.01286675	-3.424857	
SRR11905257_VicugnaPacos	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	236724	249843	-0.02696237	-0.02696237	0.01302418	-2.070177	
SRR11905258_VicugnaPacos	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	235376	247244	-0.02459078	-0.02459078	0.01349009	-1.822877	
SRR11905259_VicugnaPacos	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	232125	247255	-0.0315616	-0.0315616	0.01262794	-2.499347	
SRR11905260_VicugnaVicugnaVicugna	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	274425	112395	0.418877	0.418877	0.006846918	61.17745	
SRR11905262_VicugnaVicugnaVicugna	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	268147	113873	0.4038375	0.4038375	0.006969173	57.94626	
SRR11905263_VicugnaVicugnaVicugna	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	230565	118965	0.3192859	0.3192859	0.006917774	46.15442	
SRR11905264_VicugnaVicugnaVicugna	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	249715	116842	0.3624893	0.3624893	0.006981417	51.92203	
SRR11905265_VicugnaVicugnaMensalis	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	160767	131937	0.09849541	0.09849541	0.007267091	13.55362	
SRR11905266_VicugnaVicugnaMensalis	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	152367	132932	0.06812151	0.06812151	0.006640408	10.25863	
SRR11905267_VicugnaVicugnaMensalis	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	144277	133815	0.03762064	0.03762064	0.006528189	5.7628	
SRR13340600_VicugnaPacos	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	235997	253213	-0.03519143	-0.03519143	0.01415691	-2.485813	
SRR13340601_VicugnaPacos	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	239590	253928	-0.02905264	-0.02905264	0.01448421	-2.005814	
SRR13340602_VicugnaPacos	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	232390	246061	-0.02857346	-0.02857346	0.01315435	-2.172168	
SRR13340603_VicugnaPacos	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	234109	249047	-0.03091755	-0.03091755	0.01389143	-2.225656	
SRR13340604_VicugnaPacos	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	237625	244017	-0.01327127	-0.01327127	0.01405536	-0.9442142	
SRR13340605_VicugnaPacos	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	245962	248124	-0.004375756	-0.004375756	0.01395181	-0.3136337	
SRR15927273_VicugnaPacos	SRR16060509_VicugnaVicugnaMensalis	SRR11905253_VicugnaPacos	242239	250208	-0.01618245	-0.01618245	0.0137417	-1.177617	
SRR11905254_VicugnaPacos	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	240646	255877	-0.03067532	-0.03067532	0.01169771	-2.622334	
SRR11905255_VicugnaPacos	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	239180	249899	-0.0219167	-0.0219167	0.01140385	-1.92187	
SRR11905256_VicugnaPacos	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	239278	252117	-0.02612766	-0.02612766	0.01073484	-2.433913	
SRR11905257_VicugnaPacos	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	245066	249857	-0.009680294	-0.009680294	0.01187944	-0.8148777	
SRR11905258_VicugnaPacos	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	246608	250080	-0.006990304	-0.006990304	0.01233885	-0.5665282	
SRR11905259_VicugnaPacos	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	242352	249027	-0.01358422	-0.01358422	0.01195886	-1.135912	
SRR11905260_VicugnaVicugnaVicugna	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	347758	177292	0.3246662	0.3246662	0.0112832	28.77431	
SRR11905262_VicugnaVicugnaVicugna	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	342963	180237	0.3110206	0.3110206	0.01129895	27.5265	
SRR11905263_VicugnaVicugnaVicugna	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	316398	196671	0.2333546	0.2333546	0.01202433	19.40686	
SRR11905264_VicugnaVicugnaVicugna	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	330867	189423	0.2718561	0.2718561	0.01188669	22.87063	
SRR11905265_VicugnaVicugnaMensalis	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	270387	233257	0.07372271	0.07372271	0.01386912	5.315599	
SRR11905266_VicugnaVicugnaMensalis	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	265496	237586	0.05547803	0.05547803	0.01393584	3.98096	
SRR11905267_VicugnaVicugnaMensalis	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	260581	241802	0.03737985	0.03737985	0.01392769	2.683852	
SRR13340600_VicugnaPacos	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	242306	251143	-0.01790864	-0.01790864	0.01229125	-1.457023	
SRR13340601_VicugnaPacos	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	241530	247574	-0.01235729	-0.01235729	0.01207861	-1.023072	
SRR13340602_VicugnaPacos	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	243044	248125	-0.01034471	-0.01034471	0.01211003	-0.8542262	
SRR13340603_VicugnaPacos	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	243481	250065	-0.0133402	-0.0133402	0.01183652	-1.127037	
SRR13340604_VicugnaPacos	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	250530	248509	0.004049784	0.004049784	0.01264849	0.3201792	
SRR13340605_VicugnaPacos	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	251323	245101	0.01253364	0.01253364	0.01104188	1.1351	
SRR15927273_VicugnaPacos	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	246232	245654	0.001175069	0.001175069	0.01143904	0.1027244	
SRR16060509_VicugnaVicugnaMensalis	SRR16077698_VicugnaPacos	SRR11905253_VicugnaPacos	254588	246101	0.01695064	0.01695064	0.0143139	1.184209	
SRR11905254_VicugnaPacos	SRR16097856_VicugnaPacos	SRR11905253_VicugnaPacos	236088	252697	-0.03398018	-0.03398018	0.01089073	-3.120102	
SRR11905255_VicugnaPacos	SRR16097856_VicugnaPacos	SRR11905253_VicugnaPacos	235720	247755	-0.0248927	-0.0248927	0.01083366	-2.297719	
SRR11905256_VicugnaPacos	SRR16097856_VicugnaPacos	SRR11905253_VicugnaPacos	234204	248345	-0.0293048	-0.0293048	0.01046368	-2.800621	
SRR11905257_VicugnaPacos	SRR16097856_VicugnaPacos	SRR11905253_VicugnaPacos	242332	248439	-0.01244369	-0.01244369	0.01147372	-1.084538	
SRR11905258_VicugnaPacos	SRR16097856_VicugnaPacos	SRR11905253_VicugnaPacos	242683	247592	-0.01001275	-0.01001275	0.01130586	-0.8856249	
SRR11905259_VicugnaPacos	SRR16097856_VicugnaPacos	SRR11905253_VicugnaPacos	240374	248547	-0.0167164	-0.0167164	0.01181845	-1.414433	
SRR11905260_VicugnaVicugnaVicugna	SRR16097856_VicugnaPacos	SRR11905253_VicugnaPacos	345536	176440	0.3239536	0.3239536	0.01069893	30.27905	
SRR11905262_VicugnaVicugnaVicugna	SRR16097856_VicugnaPacos	SRR11905253_VicugnaPacos	340599	179218	0.3104573	0.3104573	0.01078676	28.78134	
SRR11905263_VicugnaVicugnaVicugna	SRR16097856_VicugnaPacos	SRR11905253_VicugnaPacos	313162	194722	0.2332029	0.2332029	0.01155324	20.18506	
